,image,width,height,x_min,y_min,x_max,y_max,label
132,aa173169-img156,384,218,261,58,296,92,0
133,9df47da6-img157,384,218,167,154,205,195,0
134,b43566d2-img159,384,218,102,67,137,102,0
135,c59ed415-img160,384,218,147,87,206,145,0
136,3cf89958-img161,384,218,74,89,138,151,0
137,12662402-img162,384,218,150,140,173,162,0
138,036316dd-img163,384,218,217,86,240,109,0
139,7feca630-img164,384,218,172,113,189,129,0
140,0d2df766-img165,384,218,276,109,295,129,0
141,33d742c5-img167,384,218,66,64,112,119,0
142,5ccb65c3-img168,384,218,243,72,276,107,0
143,286474f2-img169,384,218,320,89,352,125,0
144,38c35a12-img172,384,218,72,30,115,72,0
145,1024fc7e-img174,384,218,21,89,54,125,0
146,d93dd60c-img175,384,218,24,30,60,73,0
147,5a5f2b4d-img176,384,218,228,75,267,120,0
148,7621913c-img177,384,218,232,110,261,141,0
149,eee0d2ff-img179,384,218,76,78,144,144,0
150,4409c2f4-img180,384,218,19,55,88,125,0
151,867411aa-img181,384,218,265,24,335,95,0
152,9f4538d1-img182,384,218,150,89,217,155,0
153,409f90ed-img183,384,218,155,11,230,88,0
154,dc91f7f8-img184,384,218,161,79,200,121,0
155,4a72b169-img188,384,218,317,97,347,124,0
156,4ea78590-img189,384,218,313,94,342,123,0
157,40b2ea4c-img190,384,218,312,92,343,123,0
158,50de7ed9-img191,384,218,278,45,310,76,0
159,9694c066-img192,384,218,202,60,218,80,0
160,1824524e-img281,384,218,70,53,133,121,0
161,60468af8-img280,384,218,125,35,184,95,0
162,c8b5e56c-img279,384,218,219,67,260,113,0
163,7e4988a1-img278,384,218,206,69,249,115,0
164,efd0b79e-img277,384,218,183,76,235,129,0
165,adf1ccbb-img276,384,218,127,90,176,134,0
166,07cf47d3-img275,384,218,95,81,144,128,0
167,507aff2b-img274,384,218,144,96,192,145,0
168,650dd4e5-img273,384,218,240,84,292,134,0
169,7f0206f0-img272,384,218,304,100,343,143,0
170,a230add2-img271,384,218,330,109,366,156,0
171,0f5ef633-img270,384,218,317,89,352,130,0
172,5c44d7d5-img268,384,218,329,88,364,127,0
173,fd576937-img267,384,218,289,99,324,137,0
174,1280b5ed-img266,384,218,309,87,341,124,0
175,89b319c7-img265,384,218,317,30,352,66,0
176,e3f35613-img264,384,218,245,33,281,70,0
177,6a04c931-img263,384,218,173,44,211,77,0
178,f80937f3-img262,384,218,98,35,140,73,0
179,25d8c49a-img261,384,218,89,20,134,63,0
180,0d278bf4-img260,384,218,110,25,152,65,0
181,2a083b6b-img259,384,218,114,40,157,80,0
182,340b48b6-img258,384,218,154,51,197,94,0
183,c3baefb7-img257,384,218,223,57,264,99,0
184,4b4842b4-img256,384,218,192,111,223,141,0
185,98b9f9b1-img252,384,218,108,78,152,125,0
186,d32f19cb-img251,384,218,114,55,169,107,0
187,ea33ffbe-img250,384,218,203,40,261,95,0
188,764207b3-img249,384,218,280,29,353,98,0
189,5570ee24-img248,384,218,231,26,296,94,0
190,47ab43ee-img247,384,218,213,7,289,77,0
191,8dfa501b-img246,384,218,226,6,295,85,0
192,8cbc62ba-img245,384,218,184,30,238,92,0
193,b7e3b04a-img244,384,218,183,47,235,102,0
194,9b2a172e-img230,384,218,62,76,108,119,0
195,6dda9c54-img228,384,218,28,76,81,126,0
196,89004f9f-img227,384,218,65,49,118,98,0
197,3aa01064-img226,384,218,135,46,189,94,0
198,bcc6496c-img225,384,218,232,50,274,92,0
199,7b3f6da2-img216,384,218,142,78,161,97,0
200,ee2917f4-img215,384,218,140,66,163,88,0
201,834c133f-img213,384,218,63,17,107,63,0
202,ce054ef2-img212,384,218,104,30,147,73,0
203,6b349da6-img211,384,218,150,28,191,72,0
204,e539109b-img205,384,218,232,90,275,135,0
205,debf8d29-img204,384,218,167,97,211,138,0
206,85b63f3d-img200,384,218,130,122,167,162,0
207,c32a4992-img199,384,218,188,142,227,181,0
208,54e35d3f-img198,384,218,149,165,182,200,0
209,4ccb529e-img196,384,218,269,138,297,166,0
210,84b291b9-img195,384,218,208,142,238,171,0
211,bf36bc2c-img194,384,218,191,143,218,170,0
212,591bc3d6-img193,384,218,188,126,208,148,0
